run,started_at,model,temperature,ceiling,planner_attempts,turn_count,outcome,valid,latency_ms,validation_error
1,2026-09-11T23:44:15.374295+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,35485.11,
2,2026-09-11T23:44:50.868794+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,10209.54,
3,2026-09-11T23:45:01.078875+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,10991.65,
4,2026-09-11T23:45:12.069149+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,10679.82,
5,2026-09-11T23:45:22.750850+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,10904.49,
6,2026-09-11T23:45:33.655565+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11112.02,
7,2026-09-11T23:45:44.767773+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11055.59,
8,2026-09-11T23:45:55.823799+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11173.28,
9,2026-09-11T23:46:06.997291+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11089.92,
10,2026-09-11T23:46:18.086959+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11263.79,
11,2026-09-11T23:46:29.351840+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,12481.32,
12,2026-09-11T23:46:41.833513+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11319.36,
13,2026-09-11T23:46:53.153015+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11447.69,
14,2026-09-11T23:47:04.600818+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11532.73,
15,2026-09-11T23:47:16.134323+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11675.41,
16,2026-09-11T23:47:27.809983+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,12575.97,
17,2026-09-11T23:47:40.385912+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,11906.41,
18,2026-09-11T23:47:52.293099+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,12009.1,
19,2026-09-11T23:48:04.302222+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,13658.72,
20,2026-09-11T23:48:17.961417+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,2,1,2,valid first attempt,True,12046.08,
