run,started_at,model,temperature,ceiling,planner_attempts,turn_count,outcome,valid,latency_ms,validation_error
1,2026-09-11T23:24:28.539389+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,40163.61,
2,2026-09-11T23:25:08.707552+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,23989.58,
3,2026-09-11T23:25:32.697681+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,23209.06,
4,2026-09-11T23:25:55.907236+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,23482.91,
5,2026-09-11T23:26:19.390470+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,25064.64,
6,2026-09-11T23:26:44.455407+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,24792.78,
7,2026-09-11T23:27:09.248573+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,25264.88,
8,2026-09-11T23:27:34.513700+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,25182.25,
9,2026-09-11T23:27:59.696346+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,25362.67,
10,2026-09-11T23:28:25.056745+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26325.46,
11,2026-09-11T23:28:51.384793+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26146.29,
12,2026-09-11T23:29:17.531825+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26501.65,
13,2026-09-11T23:29:44.033672+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26875.67,
14,2026-09-11T23:30:10.909344+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26637.41,
15,2026-09-11T23:30:37.547494+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27609.6,
16,2026-09-11T23:31:05.157057+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26821.62,
17,2026-09-11T23:31:31.979286+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27117.09,
18,2026-09-11T23:31:59.094214+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,26965.13,
19,2026-09-11T23:32:26.061825+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27089.17,
20,2026-09-11T23:32:53.151413+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27391.72,
21,2026-09-11T23:33:20.543614+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27730.04,
22,2026-09-11T23:33:48.273722+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,27750.78,
23,2026-09-11T23:34:16.024855+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28706.89,
24,2026-09-11T23:34:44.732174+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28917.21,
25,2026-09-11T23:35:13.646828+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,31499.3,
26,2026-09-11T23:35:45.149299+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28863.31,
27,2026-09-11T23:36:14.013078+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28311.77,
28,2026-09-11T23:36:42.325185+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28797.13,
29,2026-09-11T23:37:11.122427+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28258.65,
30,2026-09-11T23:37:39.381453+00:00,qwen3:4b-instruct-2507-q4_K_M,0.0,10,1,3,valid first attempt,True,28463.02,
